customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,additional_column,first_name,last_name,address,pincode,phone_number,customer_joining_date,expiry_date,store_address,store_manager_name,id,manager_id,is_manager,joining_date,sales_person_first_name,sales_person_last_name,sales_person_address,sales_person_pincode
8576,72,Vegetable Oil,2023-05-12,4,460,12,5520,Happen whatever.,Zinal,Venkataraman,"832, Majumdar Road, Ongole-286732",286732,0,2022-07-20,2025-07-22,"16, Subramanian, Dindigul-302513",Shravya Dua,4,1.0,N,2021-01-05,Vritti,Golla,"60, Varghese Circle, Jaipur 509930",297838
2420,93,Biscuits,2022-02-06,4,253,8,2024,Over successful.,Raghav,Ramaswamy,"H.No. 24, Memon Path, Nagercoil 265985",265985,0,2022-01-21,2024-12-04,"879, Iyer Street, Jammu 369560",Ayaan Baral,4,1.0,N,2021-01-05,Vritti,Golla,"60, Varghese Circle, Jaipur 509930",297838
8576,16,Wheat Flour,2022-06-24,2,422,4,1688,Key lose race tax.,Zinal,Venkataraman,"832, Majumdar Road, Ongole-286732",286732,0,2022-07-20,2024-10-09,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,2,9.0,N,2017-11-06,Gayathri,Choudhary,"85/31, Raman Circle, Bhimavaram 176749",821832
4986,96,Butter,2020-06-07,5,281,12,3372,Be improve base her.,Balveer,Choudhury,"31/30, Devan Nagar, Anand 799736",799736,0,2021-04-20,2025-05-13,"28/337, Sridhar Marg, Morena-527447",Advika Taneja,5,19.0,N,2017-12-12,Ekbal,Dutt,"83/37, Mody, Belgaum-992615",651738
1637,1,Shampoo,2023-05-12,19,413,11,4543,Gun owner wear.,Anita,Barman,"H.No. 88, Upadhyay Chowk, Orai 493235",493235,29562838,2020-05-18,2025-08-20,"H.No. 78, Gara Chowk, Munger-731286",Chandani Kohli,19,8.0,N,2021-07-09,Nitara,Kuruvilla,"96, Padmanabhan Zila, Satna 121425",729506
1489,16,Rice,2021-06-14,10,326,19,6194,Right here.,Faris,Nigam,"404, Biswas Road, Bareilly-682816",682816,0,2021-01-01,2025-08-02,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,10,11.0,N,2018-07-30,Anita,Gokhale,"00/70, Dash Path, Khandwa-727746",608274
1489,16,Rice,2021-06-14,10,326,19,6194,Right here.,Faris,Nigam,"404, Biswas Road, Bareilly-682816",682816,0,2021-01-01,2025-07-25,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,10,11.0,N,2018-07-30,Anita,Gokhale,"00/70, Dash Path, Khandwa-727746",608274
2482,43,Vegetable Oil,2022-02-27,9,460,2,920,Over foot response.,Rushil,Datta,"H.No. 84, Gera, Bhilwara 569429",569429,0,2021-09-03,2025-05-01,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,9,,Y,2021-09-04,Jairaj,Zachariah,"H.No. 34, Oommen Marg, Bhavnagar 899790",304699
2482,43,Vegetable Oil,2022-02-27,9,460,2,920,Over foot response.,Rushil,Datta,"H.No. 84, Gera, Bhilwara 569429",569429,0,2021-09-03,2024-10-02,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,9,,Y,2021-09-04,Jairaj,Zachariah,"H.No. 34, Oommen Marg, Bhavnagar 899790",304699
2482,43,Vegetable Oil,2022-02-27,9,460,2,920,Over foot response.,Rushil,Datta,"H.No. 84, Gera, Bhilwara 569429",569429,0,2021-09-03,2025-07-22,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,9,,Y,2021-09-04,Jairaj,Zachariah,"H.No. 34, Oommen Marg, Bhavnagar 899790",304699
7350,93,Bread,2023-06-22,15,154,18,2772,Blood cost kid not.,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",172013,0,2021-12-04,2025-07-02,"879, Iyer Street, Jammu 369560",Ayaan Baral,15,11.0,N,2022-08-06,Darpan,Bhalla,"94, Goda Ganj, Tirupati-857504",499350
1637,4,Bread,2023-05-06,14,154,11,1694,Will require inside.,Anita,Barman,"H.No. 88, Upadhyay Chowk, Orai 493235",493235,29562838,2020-05-18,2025-07-02,"85/880, Kapadia Path, Gulbarga 143164",Jatin Vasa,14,19.0,N,2016-12-22,Arjun,Char,"59/90, Kuruvilla Zila, Suryapet 793514",193943
8341,43,Soap,2023-01-27,18,220,14,3080,Tonight wrong.,Jatin,Dhar,"28/678, Luthra Chowk, Haridwar-138699",138699,0,2020-01-01,2025-03-31,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,18,8.0,N,2023-05-03,Anvi,Verma,"84/59, Rajan Zila, Pali-264767",660742
5253,16,Toothpaste,2022-10-26,9,224,13,2912,They after program.,Jagdish,Sodhi,"H.No. 57, Sarma Chowk, Jorhat-960770",960770,0,2020-04-20,2024-10-28,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,9,,Y,2021-09-04,Jairaj,Zachariah,"H.No. 34, Oommen Marg, Bhavnagar 899790",304699
8164,16,Vegetable Oil,2020-08-21,20,460,13,5980,Bar might man act.,Aachal,Rau,"H.No. 52, Nanda Circle, Ahmednagar 518831",518831,0,2022-04-21,2025-05-01,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
8164,16,Vegetable Oil,2020-08-21,20,460,13,5980,Bar might man act.,Aachal,Rau,"H.No. 52, Nanda Circle, Ahmednagar 518831",518831,0,2022-04-21,2024-10-02,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
8164,16,Vegetable Oil,2020-08-21,20,460,13,5980,Bar might man act.,Aachal,Rau,"H.No. 52, Nanda Circle, Ahmednagar 518831",518831,0,2022-04-21,2025-07-22,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
3346,22,Rice,2021-02-03,6,326,3,978,Turn machine.,Indali,Naidu,"54/055, Apte Street, Bokaro-874973",874973,0,2020-08-26,2025-08-02,"98/834, Bora Ganj, Dharmavaram-898570",Anamika Karnik,6,11.0,N,2015-08-04,Guneet,Keer,"79/02, Lall Ganj, Junagadh-836106",19492
3346,22,Rice,2021-02-03,6,326,3,978,Turn machine.,Indali,Naidu,"54/055, Apte Street, Bokaro-874973",874973,0,2020-08-26,2025-07-25,"98/834, Bora Ganj, Dharmavaram-898570",Anamika Karnik,6,11.0,N,2015-08-04,Guneet,Keer,"79/02, Lall Ganj, Junagadh-836106",19492
1637,100,Shampoo,2022-06-25,1,413,9,3717,Reveal those feel.,Anita,Barman,"H.No. 88, Upadhyay Chowk, Orai 493235",493235,29562838,2020-05-18,2025-08-20,"30, Saraf Circle, Jamnagar 351217",Arjun Pathak,1,17.0,N,2021-01-04,Omisha,Wadhwa,"593, Konda, Korba 897360",733358
1489,63,Salt,2022-05-21,17,224,7,1568,Such rate establish.,Faris,Nigam,"404, Biswas Road, Bareilly-682816",682816,0,2021-01-01,2025-03-08,"44/11, Kota Circle, Bhiwani-353348",Yoshita Ghosh,17,20.0,N,2018-03-27,Netra,Oommen,"H.No. 57, Shah Nagar, Ghaziabad-741319",872645
1489,63,Salt,2022-05-21,17,224,7,1568,Such rate establish.,Faris,Nigam,"404, Biswas Road, Bareilly-682816",682816,0,2021-01-01,2025-08-03,"44/11, Kota Circle, Bhiwani-353348",Yoshita Ghosh,17,20.0,N,2018-03-27,Netra,Oommen,"H.No. 57, Shah Nagar, Ghaziabad-741319",872645
8164,63,Wheat Flour,2023-06-16,17,422,20,8440,Man enter cultural.,Aachal,Rau,"H.No. 52, Nanda Circle, Ahmednagar 518831",518831,0,2022-04-21,2024-10-09,"44/11, Kota Circle, Bhiwani-353348",Yoshita Ghosh,17,20.0,N,2018-03-27,Netra,Oommen,"H.No. 57, Shah Nagar, Ghaziabad-741319",872645
6317,43,Vegetable Oil,2021-04-01,20,460,15,6900,On try again impact.,Riya,Bassi,"23/159, Parmar Zila, Sri Ganganagar-469379",469379,0,2021-05-17,2025-05-01,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
6317,43,Vegetable Oil,2021-04-01,20,460,15,6900,On try again impact.,Riya,Bassi,"23/159, Parmar Zila, Sri Ganganagar-469379",469379,0,2021-05-17,2024-10-02,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
6317,43,Vegetable Oil,2021-04-01,20,460,15,6900,On try again impact.,Riya,Bassi,"23/159, Parmar Zila, Sri Ganganagar-469379",469379,0,2021-05-17,2025-07-22,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
5253,96,Bread,2022-02-10,9,154,14,2156,Young try offer.,Jagdish,Sodhi,"H.No. 57, Sarma Chowk, Jorhat-960770",960770,0,2020-04-20,2025-07-02,"28/337, Sridhar Marg, Morena-527447",Advika Taneja,9,,Y,2021-09-04,Jairaj,Zachariah,"H.No. 34, Oommen Marg, Bhavnagar 899790",304699
1489,63,Rice,2021-04-24,19,326,1,326,Imagine fine.,Faris,Nigam,"404, Biswas Road, Bareilly-682816",682816,0,2021-01-01,2025-08-02,"44/11, Kota Circle, Bhiwani-353348",Yoshita Ghosh,19,8.0,N,2021-07-09,Nitara,Kuruvilla,"96, Padmanabhan Zila, Satna 121425",729506
1489,63,Rice,2021-04-24,19,326,1,326,Imagine fine.,Faris,Nigam,"404, Biswas Road, Bareilly-682816",682816,0,2021-01-01,2025-07-25,"44/11, Kota Circle, Bhiwani-353348",Yoshita Ghosh,19,8.0,N,2021-07-09,Nitara,Kuruvilla,"96, Padmanabhan Zila, Satna 121425",729506
7841,96,Vegetable Oil,2020-01-02,20,460,1,460,Will free another.,Jagdish,Shan,"76/97, Samra Road, Motihari-476980",476980,0,2022-07-29,2025-05-01,"28/337, Sridhar Marg, Morena-527447",Advika Taneja,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
7841,96,Vegetable Oil,2020-01-02,20,460,1,460,Will free another.,Jagdish,Shan,"76/97, Samra Road, Motihari-476980",476980,0,2022-07-29,2024-10-02,"28/337, Sridhar Marg, Morena-527447",Advika Taneja,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
7841,96,Vegetable Oil,2020-01-02,20,460,1,460,Will free another.,Jagdish,Shan,"76/97, Samra Road, Motihari-476980",476980,0,2022-07-29,2025-07-22,"28/337, Sridhar Marg, Morena-527447",Advika Taneja,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
7350,63,Eggs,2020-09-17,8,462,12,5544,Those thing.,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",172013,0,2021-12-04,2025-04-20,"44/11, Kota Circle, Bhiwani-353348",Yoshita Ghosh,8,,Y,2023-06-04,Bachittar,Shah,"H.No. 070, Khosla Zila, Katni-091611",426053
7763,100,Sugar,2022-06-17,6,146,12,1752,Of social they.,Dominic,Radhakrishnan,"834, Rajagopal Road, Amaravati 801199",801199,0,2022-02-28,2024-11-03,"30, Saraf Circle, Jamnagar 351217",Arjun Pathak,6,11.0,N,2015-08-04,Guneet,Keer,"79/02, Lall Ganj, Junagadh-836106",19492
7763,100,Sugar,2022-06-17,6,146,12,1752,Of social they.,Dominic,Radhakrishnan,"834, Rajagopal Road, Amaravati 801199",801199,0,2022-02-28,2025-05-06,"30, Saraf Circle, Jamnagar 351217",Arjun Pathak,6,11.0,N,2015-08-04,Guneet,Keer,"79/02, Lall Ganj, Junagadh-836106",19492
2420,96,Shampoo,2020-04-18,14,413,14,5782,Concern seven Mrs.,Raghav,Ramaswamy,"H.No. 24, Memon Path, Nagercoil 265985",265985,0,2022-01-21,2025-08-20,"28/337, Sridhar Marg, Morena-527447",Advika Taneja,14,19.0,N,2016-12-22,Arjun,Char,"59/90, Kuruvilla Zila, Suryapet 793514",193943
2420,72,Sugar,2021-11-08,19,146,1,146,Shake town society.,Raghav,Ramaswamy,"H.No. 24, Memon Path, Nagercoil 265985",265985,0,2022-01-21,2024-11-03,"16, Subramanian, Dindigul-302513",Shravya Dua,19,8.0,N,2021-07-09,Nitara,Kuruvilla,"96, Padmanabhan Zila, Satna 121425",729506
2420,72,Sugar,2021-11-08,19,146,1,146,Shake town society.,Raghav,Ramaswamy,"H.No. 24, Memon Path, Nagercoil 265985",265985,0,2022-01-21,2025-05-06,"16, Subramanian, Dindigul-302513",Shravya Dua,19,8.0,N,2021-07-09,Nitara,Kuruvilla,"96, Padmanabhan Zila, Satna 121425",729506
8164,100,Toothpaste,2023-02-27,9,224,13,2912,Difference together.,Aachal,Rau,"H.No. 52, Nanda Circle, Ahmednagar 518831",518831,0,2022-04-21,2024-10-28,"30, Saraf Circle, Jamnagar 351217",Arjun Pathak,9,,Y,2021-09-04,Jairaj,Zachariah,"H.No. 34, Oommen Marg, Bhavnagar 899790",304699
1637,4,Shampoo,2020-08-28,14,413,11,4543,Behavior check.,Anita,Barman,"H.No. 88, Upadhyay Chowk, Orai 493235",493235,29562838,2020-05-18,2025-08-20,"85/880, Kapadia Path, Gulbarga 143164",Jatin Vasa,14,19.0,N,2016-12-22,Arjun,Char,"59/90, Kuruvilla Zila, Suryapet 793514",193943
6642,4,Soap,2022-09-10,1,220,1,220,Wait increase often.,Kalpit,Divan,"15, Zacharia Nagar, Buxar-919980",919980,0,2022-05-14,2025-03-31,"85/880, Kapadia Path, Gulbarga 143164",Jatin Vasa,1,17.0,N,2021-01-04,Omisha,Wadhwa,"593, Konda, Korba 897360",733358
5253,100,Shampoo,2020-04-18,7,413,6,2478,Whatever son card.,Jagdish,Sodhi,"H.No. 57, Sarma Chowk, Jorhat-960770",960770,0,2020-04-20,2025-08-20,"30, Saraf Circle, Jamnagar 351217",Arjun Pathak,7,8.0,N,2019-05-25,Dayita,Dave,"H.No. 148, Sampath Chowk, Karaikudi-338755",175153
8164,22,Sugar,2020-02-14,6,146,10,1460,Change hundred.,Aachal,Rau,"H.No. 52, Nanda Circle, Ahmednagar 518831",518831,0,2022-04-21,2024-11-03,"98/834, Bora Ganj, Dharmavaram-898570",Anamika Karnik,6,11.0,N,2015-08-04,Guneet,Keer,"79/02, Lall Ganj, Junagadh-836106",19492
8164,22,Sugar,2020-02-14,6,146,10,1460,Change hundred.,Aachal,Rau,"H.No. 52, Nanda Circle, Ahmednagar 518831",518831,0,2022-04-21,2025-05-06,"98/834, Bora Ganj, Dharmavaram-898570",Anamika Karnik,6,11.0,N,2015-08-04,Guneet,Keer,"79/02, Lall Ganj, Junagadh-836106",19492
4045,43,Salt,2022-08-01,7,224,19,4256,Exist garden my.,Aadhya,Jha,"H.No. 854, Gulati Chowk, Tadipatri-177232",177232,0,2021-10-12,2025-03-08,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,7,8.0,N,2019-05-25,Dayita,Dave,"H.No. 148, Sampath Chowk, Karaikudi-338755",175153
4045,43,Salt,2022-08-01,7,224,19,4256,Exist garden my.,Aadhya,Jha,"H.No. 854, Gulati Chowk, Tadipatri-177232",177232,0,2021-10-12,2025-08-03,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,7,8.0,N,2019-05-25,Dayita,Dave,"H.No. 148, Sampath Chowk, Karaikudi-338755",175153
7763,16,Juice,2022-11-06,2,373,15,5595,Car rise leave back.,Dominic,Radhakrishnan,"834, Rajagopal Road, Amaravati 801199",801199,0,2022-02-28,2025-06-09,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,2,9.0,N,2017-11-06,Gayathri,Choudhary,"85/31, Raman Circle, Bhimavaram 176749",821832
7350,16,Vegetable Oil,2023-07-06,5,460,10,4600,Teach language both.,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",172013,0,2021-12-04,2025-05-01,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,5,19.0,N,2017-12-12,Ekbal,Dutt,"83/37, Mody, Belgaum-992615",651738
7350,16,Vegetable Oil,2023-07-06,5,460,10,4600,Teach language both.,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",172013,0,2021-12-04,2024-10-02,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,5,19.0,N,2017-12-12,Ekbal,Dutt,"83/37, Mody, Belgaum-992615",651738
7350,16,Vegetable Oil,2023-07-06,5,460,10,4600,Teach language both.,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",172013,0,2021-12-04,2025-07-22,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,5,19.0,N,2017-12-12,Ekbal,Dutt,"83/37, Mody, Belgaum-992615",651738
6642,43,Soap,2021-09-16,8,220,3,660,Military else bit.,Kalpit,Divan,"15, Zacharia Nagar, Buxar-919980",919980,0,2022-05-14,2025-03-31,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,8,,Y,2023-06-04,Bachittar,Shah,"H.No. 070, Khosla Zila, Katni-091611",426053
4986,43,Coffee,2023-04-15,9,61,5,305,Military conference.,Balveer,Choudhury,"31/30, Devan Nagar, Anand 799736",799736,0,2021-04-20,2024-11-26,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,9,,Y,2021-09-04,Jairaj,Zachariah,"H.No. 34, Oommen Marg, Bhavnagar 899790",304699
8576,96,Bread,2022-12-10,16,154,12,1848,Ready order brother.,Zinal,Venkataraman,"832, Majumdar Road, Ongole-286732",286732,0,2022-07-20,2025-07-02,"28/337, Sridhar Marg, Morena-527447",Advika Taneja,16,15.0,N,2015-09-14,Oviya,Raja,"H.No. 03, Date Road, Korba 556874",736881
4986,22,Vegetable Oil,2020-10-28,12,460,12,5520,Expert from either.,Balveer,Choudhury,"31/30, Devan Nagar, Anand 799736",799736,0,2021-04-20,2025-05-01,"98/834, Bora Ganj, Dharmavaram-898570",Anamika Karnik,12,6.0,N,2018-01-12,Mugdha,Kohli,"64/132, Andra Zila, Dehradun-069307",909474
4986,22,Vegetable Oil,2020-10-28,12,460,12,5520,Expert from either.,Balveer,Choudhury,"31/30, Devan Nagar, Anand 799736",799736,0,2021-04-20,2024-10-02,"98/834, Bora Ganj, Dharmavaram-898570",Anamika Karnik,12,6.0,N,2018-01-12,Mugdha,Kohli,"64/132, Andra Zila, Dehradun-069307",909474
4986,22,Vegetable Oil,2020-10-28,12,460,12,5520,Expert from either.,Balveer,Choudhury,"31/30, Devan Nagar, Anand 799736",799736,0,2021-04-20,2025-07-22,"98/834, Bora Ganj, Dharmavaram-898570",Anamika Karnik,12,6.0,N,2018-01-12,Mugdha,Kohli,"64/132, Andra Zila, Dehradun-069307",909474
7038,43,Butter,2022-05-29,15,281,8,2248,Catch kitchen heavy.,Oni,Reddy,"175, Bhargava Ganj, Dhule 885357",885357,0,2021-01-01,2025-05-13,"35/482, Bhargava Chowk, Bathinda-177656",Vedhika Rama,15,11.0,N,2022-08-06,Darpan,Bhalla,"94, Goda Ganj, Tirupati-857504",499350
7350,63,Sugar,2023-05-10,20,146,19,2774,When decision full.,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",172013,0,2021-12-04,2024-11-03,"44/11, Kota Circle, Bhiwani-353348",Yoshita Ghosh,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
7350,63,Sugar,2023-05-10,20,146,19,2774,When decision full.,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",172013,0,2021-12-04,2025-05-06,"44/11, Kota Circle, Bhiwani-353348",Yoshita Ghosh,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
4045,96,Shampoo,2020-02-24,20,413,4,1652,Strategy watch.,Aadhya,Jha,"H.No. 854, Gulati Chowk, Tadipatri-177232",177232,0,2021-10-12,2025-08-20,"28/337, Sridhar Marg, Morena-527447",Advika Taneja,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
8341,63,Soap,2020-02-27,5,220,2,440,Hotel special who.,Jatin,Dhar,"28/678, Luthra Chowk, Haridwar-138699",138699,0,2020-01-01,2025-03-31,"44/11, Kota Circle, Bhiwani-353348",Yoshita Ghosh,5,19.0,N,2017-12-12,Ekbal,Dutt,"83/37, Mody, Belgaum-992615",651738
8164,1,Salt,2020-04-15,2,224,17,3808,Church instead.,Aachal,Rau,"H.No. 52, Nanda Circle, Ahmednagar 518831",518831,0,2022-04-21,2025-03-08,"H.No. 78, Gara Chowk, Munger-731286",Chandani Kohli,2,9.0,N,2017-11-06,Gayathri,Choudhary,"85/31, Raman Circle, Bhimavaram 176749",821832
8164,1,Salt,2020-04-15,2,224,17,3808,Church instead.,Aachal,Rau,"H.No. 52, Nanda Circle, Ahmednagar 518831",518831,0,2022-04-21,2025-08-03,"H.No. 78, Gara Chowk, Munger-731286",Chandani Kohli,2,9.0,N,2017-11-06,Gayathri,Choudhary,"85/31, Raman Circle, Bhimavaram 176749",821832
6642,93,Shampoo,2022-02-03,1,413,2,826,Either tonight.,Kalpit,Divan,"15, Zacharia Nagar, Buxar-919980",919980,0,2022-05-14,2025-08-20,"879, Iyer Street, Jammu 369560",Ayaan Baral,1,17.0,N,2021-01-04,Omisha,Wadhwa,"593, Konda, Korba 897360",733358
8576,100,Sugar,2021-08-09,3,146,6,876,Other debate stock.,Zinal,Venkataraman,"832, Majumdar Road, Ongole-286732",286732,0,2022-07-20,2024-11-03,"30, Saraf Circle, Jamnagar 351217",Arjun Pathak,3,13.0,N,2022-02-03,Varenya,Naik,"913, Mall Road, Thoothukudi 295616",564833
8576,100,Sugar,2021-08-09,3,146,6,876,Other debate stock.,Zinal,Venkataraman,"832, Majumdar Road, Ongole-286732",286732,0,2022-07-20,2025-05-06,"30, Saraf Circle, Jamnagar 351217",Arjun Pathak,3,13.0,N,2022-02-03,Varenya,Naik,"913, Mall Road, Thoothukudi 295616",564833
7841,16,Vegetable Oil,2022-03-06,16,460,9,4140,Range something.,Jagdish,Shan,"76/97, Samra Road, Motihari-476980",476980,0,2022-07-29,2025-05-01,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,16,15.0,N,2015-09-14,Oviya,Raja,"H.No. 03, Date Road, Korba 556874",736881
7841,16,Vegetable Oil,2022-03-06,16,460,9,4140,Range something.,Jagdish,Shan,"76/97, Samra Road, Motihari-476980",476980,0,2022-07-29,2024-10-02,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,16,15.0,N,2015-09-14,Oviya,Raja,"H.No. 03, Date Road, Korba 556874",736881
7841,16,Vegetable Oil,2022-03-06,16,460,9,4140,Range something.,Jagdish,Shan,"76/97, Samra Road, Motihari-476980",476980,0,2022-07-29,2025-07-22,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,16,15.0,N,2015-09-14,Oviya,Raja,"H.No. 03, Date Road, Korba 556874",736881
3346,100,Vegetable Oil,2021-09-08,20,460,7,3220,Red six trouble.,Indali,Naidu,"54/055, Apte Street, Bokaro-874973",874973,0,2020-08-26,2025-05-01,"30, Saraf Circle, Jamnagar 351217",Arjun Pathak,20,12.0,N,2015-08-09,Lakshmi,Kaul,"32, Pandey Nagar, Suryapet 893738",156544
